nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Mayenne;Laval;Mazagran;123;PM10;21;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Mayenne;Laval;Mazagran;123;PM10;27;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Mayenne;Laval;Mazagran;123;PM10;36;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Mayenne;Laval;Mazagran;123;PM10;30;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Mayenne;Laval;Mazagran;123;PM10;20;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Mayenne;Laval;Mazagran;123;PM10;16;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Mayenne;Laval;Mazagran;123;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Mayenne;Laval;Mazagran;123;PM10;31;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Mayenne;Laval;Mazagran;123;PM10;31;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Mayenne;Laval;Mazagran;123;PM10;26;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Mayenne;Laval;Mazagran;123;PM10;9;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Mayenne;Laval;Mazagran;123;PM10;12;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Mayenne;Laval;Mazagran;123;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;20;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;30;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;38;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;28;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;18;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;16;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;22;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;26;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;34;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;34;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;18;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;22;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;19;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Saint-Nazaire;Blum;110;PM10;;;"moyenne journalière";;2021-03-13;UTC
Sarthe;"Le Mans";Sources;182;PM10;20;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Sarthe;"Le Mans";Sources;182;PM10;24;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Sarthe;"Le Mans";Sources;182;PM10;33;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Sarthe;"Le Mans";Sources;182;PM10;35;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Sarthe;"Le Mans";Sources;182;PM10;20;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Sarthe;"Le Mans";Sources;182;PM10;12;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Sarthe;"Le Mans";Sources;182;PM10;15;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Sarthe;"Le Mans";Sources;182;PM10;21;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Sarthe;"Le Mans";Sources;182;PM10;32;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Sarthe;"Le Mans";Sources;182;PM10;34;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Sarthe;"Le Mans";Sources;182;PM10;32;microg/m3;"moyenne journalière";V;2021-03-10;UTC
